batch_size,check,passed,severity_if_failed,detail,result
112,constant_protocol_except_batch,True,critical,distinct_signatures=1,Aprovado
112,common_split,True,critical,distinct_split_fingerprints=1,Aprovado
112,common_source,True,critical,distinct_source_fingerprints=1,Aprovado
128,constant_protocol_except_batch,True,critical,distinct_signatures=1,Aprovado
128,common_split,True,critical,distinct_split_fingerprints=1,Aprovado
128,common_source,True,critical,distinct_source_fingerprints=1,Aprovado
144,constant_protocol_except_batch,True,critical,distinct_signatures=1,Aprovado
144,common_split,True,critical,distinct_split_fingerprints=1,Aprovado
144,common_source,True,critical,distinct_source_fingerprints=1,Aprovado
160,constant_protocol_except_batch,True,critical,distinct_signatures=1,Aprovado
160,common_split,True,critical,distinct_split_fingerprints=1,Aprovado
160,common_source,True,critical,distinct_source_fingerprints=1,Aprovado
176,constant_protocol_except_batch,True,critical,distinct_signatures=1,Aprovado
176,common_split,True,critical,distinct_split_fingerprints=1,Aprovado
176,common_source,True,critical,distinct_source_fingerprints=1,Aprovado
192,constant_protocol_except_batch,True,critical,distinct_signatures=1,Aprovado
192,common_split,True,critical,distinct_split_fingerprints=1,Aprovado
192,common_source,True,critical,distinct_source_fingerprints=1,Aprovado
208,constant_protocol_except_batch,True,critical,distinct_signatures=1,Aprovado
208,common_split,True,critical,distinct_split_fingerprints=1,Aprovado
208,common_source,True,critical,distinct_source_fingerprints=1,Aprovado
224,constant_protocol_except_batch,True,critical,distinct_signatures=1,Aprovado
224,common_split,True,critical,distinct_split_fingerprints=1,Aprovado
224,common_source,True,critical,distinct_source_fingerprints=1,Aprovado
240,constant_protocol_except_batch,True,critical,distinct_signatures=1,Aprovado
240,common_split,True,critical,distinct_split_fingerprints=1,Aprovado
240,common_source,True,critical,distinct_source_fingerprints=1,Aprovado
256,constant_protocol_except_batch,True,critical,distinct_signatures=1,Aprovado
256,common_split,True,critical,distinct_split_fingerprints=1,Aprovado
256,common_source,True,critical,distinct_source_fingerprints=1,Aprovado
272,constant_protocol_except_batch,True,critical,distinct_signatures=1,Aprovado
272,common_split,True,critical,distinct_split_fingerprints=1,Aprovado
272,common_source,True,critical,distinct_source_fingerprints=1,Aprovado
288,constant_protocol_except_batch,True,critical,distinct_signatures=1,Aprovado
288,common_split,True,critical,distinct_split_fingerprints=1,Aprovado
288,common_source,True,critical,distinct_source_fingerprints=1,Aprovado
304,constant_protocol_except_batch,True,critical,distinct_signatures=1,Aprovado
304,common_split,True,critical,distinct_split_fingerprints=1,Aprovado
304,common_source,True,critical,distinct_source_fingerprints=1,Aprovado
320,constant_protocol_except_batch,True,critical,distinct_signatures=1,Aprovado
320,common_split,True,critical,distinct_split_fingerprints=1,Aprovado
320,common_source,True,critical,distinct_source_fingerprints=1,Aprovado
336,constant_protocol_except_batch,True,critical,distinct_signatures=1,Aprovado
336,common_split,True,critical,distinct_split_fingerprints=1,Aprovado
336,common_source,True,critical,distinct_source_fingerprints=1,Aprovado
352,constant_protocol_except_batch,True,critical,distinct_signatures=1,Aprovado
352,common_split,True,critical,distinct_split_fingerprints=1,Aprovado
352,common_source,True,critical,distinct_source_fingerprints=1,Aprovado
368,constant_protocol_except_batch,True,critical,distinct_signatures=1,Aprovado
368,common_split,True,critical,distinct_split_fingerprints=1,Aprovado
368,common_source,True,critical,distinct_source_fingerprints=1,Aprovado
384,constant_protocol_except_batch,True,critical,distinct_signatures=1,Aprovado
384,common_split,True,critical,distinct_split_fingerprints=1,Aprovado
384,common_source,True,critical,distinct_source_fingerprints=1,Aprovado
400,constant_protocol_except_batch,True,critical,distinct_signatures=1,Aprovado
400,common_split,True,critical,distinct_split_fingerprints=1,Aprovado
400,common_source,True,critical,distinct_source_fingerprints=1,Aprovado
416,constant_protocol_except_batch,True,critical,distinct_signatures=1,Aprovado
416,common_split,True,critical,distinct_split_fingerprints=1,Aprovado
416,common_source,True,critical,distinct_source_fingerprints=1,Aprovado
432,constant_protocol_except_batch,True,critical,distinct_signatures=1,Aprovado
432,common_split,True,critical,distinct_split_fingerprints=1,Aprovado
432,common_source,True,critical,distinct_source_fingerprints=1,Aprovado
448,constant_protocol_except_batch,True,critical,distinct_signatures=1,Aprovado
448,common_split,True,critical,distinct_split_fingerprints=1,Aprovado
448,common_source,True,critical,distinct_source_fingerprints=1,Aprovado
464,constant_protocol_except_batch,True,critical,distinct_signatures=1,Aprovado
464,common_split,True,critical,distinct_split_fingerprints=1,Aprovado
464,common_source,True,critical,distinct_source_fingerprints=1,Aprovado
480,constant_protocol_except_batch,True,critical,distinct_signatures=1,Aprovado
480,common_split,True,critical,distinct_split_fingerprints=1,Aprovado
480,common_source,True,critical,distinct_source_fingerprints=1,Aprovado
496,constant_protocol_except_batch,True,critical,distinct_signatures=1,Aprovado
496,common_split,True,critical,distinct_split_fingerprints=1,Aprovado
496,common_source,True,critical,distinct_source_fingerprints=1,Aprovado
512,constant_protocol_except_batch,True,critical,distinct_signatures=1,Aprovado
512,common_split,True,critical,distinct_split_fingerprints=1,Aprovado
512,common_source,True,critical,distinct_source_fingerprints=1,Aprovado
